Game Name,Hours
80s Days,0:11
Age of Empires II Definitive Edition,78.7
Amnesia,0:15
Among Us,91.6
Apex Legends,134.2
Aseprite,76.7
Atomic Crops,50.5
Back 4 Blood,9.5
Banished,15.5
Bone's Cafe,13
Borderlands,5.9
Core Keeper,73.7
Cozy Grove,22.6
Cult of the Lamb,19.3
Darkest Dungeon,62.5
Dave the Diver,34.3
Dead by Daylight,282.9
Diable IV,3.8
Don't Starve Together,396.8
Drawful,3.3
Enemy on Board,4.9
Enshrouded,8.2
The Escapists,0:38
Fall Guys,35.8
First Class Trouble,13.1
Forager,17.5
Garry's Mod,81
Golf with your Friends,6
Goose Goose Duck,34.3
Graveyard Keeper,87
Hogwarts Legacy,54.4
Hollow Knight,75.5
"Honey, I Joined a Cult",6.3
Human Fall Flat,5.1
I'm On Observation Duty,3.9
I'm On Observation Duty 2,2.7
I'm On Observation Duty 3,0.4
I'm on Observation Duty 4,3.1
I'm on Observation Duty 5,3.3
I'm on Observation Duty 6,1.1
Islanders,5.4
It Takes Two,18.4
The Jackbox Party Pack 3,108
The Jackbox Party Pack 6,6.3
Just Act Natural,60
Keep Talking and nobody explodes,4.3
Kingdom New Lands,10.3
Kingdom Two Crowns,48.2
Kingdoms and Castles,17.8
Lethal Company,1.3
Let's Build a Zoo,21.3
Little Big Workshop,14
Little Nightmares,0.93
Littlewood,17.2
Lost Castle,18
Marvel Heroes Omega,1.1
MINDNIGHT,0.66
Mini Motorways,10.9
Moonstone Island,19.7
Move or Die,0.16
Moving Out,2.8
My Suika,12.1
My Time at Portia,0.2
NieR:Automata,21.5
No Time to Explain,0.2
The Oregon Trail,17.2
Out of Space,4.4
OverCooked!2,12.8
Oxygen Not Included,23.7
Paper Pirates,1.2
Papers Please,17.7
Phasmophobia,97.2
Planet coaster,1
PlateUp!,46.1
Potion Craft,12.4
Potion Permit,29.6
Prison Architect,18.1
Project Winter,15.6
PropNight,0.96
Pummel Party,2.8
Resident Evil 5,1.3
RimWorld,755.3
Rogue Tower,26.5
Settlement Survival,2.4
Spy Party,2.2
Stacklands,4.4
Stardew Valley,451.3
Super Animal Royale,17.7
Super Auto Pets,49.1
Tabletop Simulator,12.8
Tavern Tychoon,33.7
Terreria,16.7
Thronefall,22.5
Timberborn,15.5
Tomb Raider,3.9
Tools up!,4
Townsmen,10.6
Traveler's Rest,51.9
Two Point Hospital,18.6
Undermine,109
Undertale,15.1
Unrailed!,4.4
VA-11 Hall-A: Cyberpunk Bartender Action,7.4
Valheim,108.5
The Wandering Village,10.8
A Way Out,5.8
We Were Here Expeditions: The FriendShip,1.9
Worms W.M.D,10.7